Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	Freq 75% (Hz)	BW 50% (Hz)	SPP	TYPE	EXP	TRIAL
64	Spectrogram 2	1	49.443322070	49.965323597	1291.992	2928.516	0.4180	2282.520	344.531	THAR	B2	LOLA	5
65	Spectrogram 1	1	50.083068302	50.283234301	1679.590	7235.156	0.1567	6890.625	2411.719	MYME	C1	LOLA	5
65	Spectrogram 2	1	50.083068302	50.283234301	1679.590	7235.156	0.1741	6976.758	2454.785	MYME	C1	LOLA	5
66	Spectrogram 1	1	52.736179661	53.352376951	1291.992	2928.516	0.4005	2239.453	258.398	THAR	B2	LOLA	5
66	Spectrogram 2	1	52.736179661	53.352376951	1291.992	2928.516	0.4063	2239.453	258.398	THAR	B2	LOLA	5
67	Spectrogram 1	1	53.756633772	54.439553063	2325.586	5684.766	0.4818	5081.836	1808.789	MYLO	C2	LOLA	5
67	Spectrogram 2	1	53.756633772	54.439553063	2325.586	5684.766	0.4760	5124.902	1894.922	MYLO	C2	LOLA	5
68	Spectrogram 1	1	53.823355772	54.121642359	2196.387	6201.562	0.2090	5598.633	1894.922	MYAX	C5	LOLA	5
68	Spectrogram 2	1	53.823355772	54.121642359	2196.387	6201.562	0.2090	5641.699	1937.988	MYAX	C5	LOLA	5
69	Spectrogram 1	1	54.816336119	55.071449647	1335.059	4737.305	0.1451	4134.375	1894.922	MYAX	C5	LOLA	5
69	Spectrogram 2	1	54.816336119	55.071449647	1335.059	4737.305	0.1393	4134.375	1851.855	MYAX	C5	LOLA	5
70	Spectrogram 1	1	56.232163245	56.828736418	1291.992	3617.578	0.3947	2411.719	430.664	THAR	B2	LOLA	5
70	Spectrogram 2	1	56.232163245	56.828736418	1291.992	3617.578	0.3831	2368.652	344.531	THAR	B2	LOLA	5
71	Spectrogram 1	1	57.144717318	57.847260726	2368.652	5598.633	0.5515	4478.906	1378.125	MYLO	C2	LOLA	5
71	Spectrogram 2	1	57.144717318	57.847260726	2368.652	5598.633	0.5457	4478.906	1378.125	MYLO	C2	LOLA	5
